Entrez_ID	hgnc_symbol	logFC	P.Value	adj.P.Val
63876	PKNOX2	-3.3010836423446674	2.629319725793291e-12	1.3726831558285586e-10
10725	NFAT5	2.546082336512117	2.6569956468768766e-12	1.3824456066740127e-10
146439	BICDL2	-3.7179140757294604	2.6935820235967744e-12	1.3967628533809402e-10
6520	SLC3A2	3.5715807907074	2.787757491679797e-12	1.440746749307401e-10
442901	MIR328	-6.14916681000184	2.8522582146501445e-12	1.4667397851738258e-10
83700	JAM3	3.202598421198015	2.857099769834087e-12	1.4667397851738258e-10
138065	RNF183	4.727187567753239	2.8668323932949107e-12	1.4668467006357116e-10
55012	PPP2R3C	1.9942915396306322	2.905508066338744e-12	1.4752570938506137e-10
5325	PLAGL1	-2.877207749189348	2.911866171106403e-12	1.4752570938506137e-10
63950	DMRTA2	-6.207659557894831	2.9120067302810635e-12	1.4752570938506137e-10
22876	INPP5F	-1.4295606479884917	2.9744744938415274e-12	1.5019633337591267e-10
91151	TIGD7	2.1774154287566336	3.0821410574112497e-12	1.5482343933293357e-10
100505929	LINC01549	4.371857623739139	3.0862149130063376e-12	1.5482343933293357e-10
9692	PRORP	1.8699669286930618	3.1059095103001687e-12	1.5530555963679513e-10
3651	PDX1	-5.71848467283811	3.1473795281579377e-12	1.568698773888686e-10
4430	MYO1B	-2.858010409829177	3.352374507607357e-12	1.6654812836019646e-10
4163	MCC	3.707195630585489	3.4036290023474165e-12	1.6855077255676065e-10
399959	MIR100HG	2.9611307795942867	3.427967274885263e-12	1.6921193589906392e-10
23603	CORO1C	2.6823917991948125	3.4609521360589917e-12	1.7029432539119658e-10
57162	PELI1	2.5117637052024318	3.4773362482918143e-12	1.7055559095523006e-10
5314	PKHD1	-2.6093637754328514	3.6099903883111446e-12	1.7649987927104741e-10
140465	MYL6B	1.9906084956437429	3.656673877220166e-12	1.7821656450337904e-10
10903	MTMR11	4.255888283759476	3.6885212173909126e-12	1.7920162545437679e-10
