Entrez_ID	hgnc_symbol	logFC	P.Value	adj.P.Val
4128	MAOA	-2.1834340718398253	2.54599972344266e-8	1.30009181322983e-6
144165	PRICKLE1	2.202773868279778	2.5526722545848944e-8	1.30009181322983e-6
84836	ABHD14B	-4.0575976520625625	2.558249960078394e-8	1.30009181322983e-6
9453	GGPS1	-3.8615054129878037	2.5588240181165188e-8	1.30009181322983e-6
5590	PRKCZ	2.086752299216948	2.5801851158385775e-8	1.3034234068459437e-6
392509	ARL13A	1.5170974598819336	2.5890847559328923e-8	1.3034234068459437e-6
100505879	KIF25-AS1	1.908552957857167	2.5895829275084975e-8	1.3034234068459437e-6
390433	OR4K13	3.243971132922878	2.6316933552659966e-8	1.3205052652494629e-6
79145	CHCHD7	-4.418366279495962	2.6585914286244888e-8	1.3269631482524593e-6
64793	CEP85	3.5873272749704834	2.660989416561223e-8	1.3269631482524593e-6
347252	IGFBPL1	-2.172981767712004	2.6877284062249825e-8	1.336173164903909e-6
56923	NMUR2	-1.8295602120706218	2.699914247506497e-8	1.3381139416246159e-6
9240	PNMA1	-4.3247283112094825	2.7101074259648596e-8	1.3390582777160316e-06
3817	KLK2	-1.9419136875101113	2.7305989297646173e-8	1.3450697228111866e-6
79946	C10orf95	2.1430269792325696	2.748405446117062e-8	1.3494922293136013e-6
667	DST	-2.3813873849238743	2.756281708692755e-8	1.3494922293136013e-6
284266	SIGLEC15	-4.059905283594804	2.7682476694575188e-8	1.351256120707708e-6
8459	TPST2	2.8624646652701906	2.782745614044315e-8	1.3542415929552408e-6
94160	ABCC12	-4.107881175372602	2.8259307123720392e-8	1.3711280035974487e-6
169436	STKLD1	-2.5191005873510766	2.8355742548541058e-8	1.3716878214274786e-6
727	C5	-4.403433151136443	2.8689061536094917e-8	1.383669155936375e-6
6187	RPS2	-4.098870914106677	2.8810442953906724e-8	1.385387877399616e-6
196513	DCP1B	-3.9575535028609727	2.903546145758085e-8	1.3920651358164208e-6
