MIMAT_ID	logFC	P.Value	adj.P.Val
MIMAT0004494	-1.6758667140839965	0.0017897872710435003	0.012622217037149712
MIMAT0004570	-0.2628666995779617	0.0018136262973793076	0.012723721992551704
MIMAT0000098	1.5321638394078099	0.0018896910964543551	0.013188673092870551
MIMAT0000063	-0.7054418450216022	0.0019095920133492057	0.013204243644737917
MIMAT0003252	-0.21241380613496022	0.0019170850003647827	0.013204243644737917
MIMAT0009198	1.165849614916736	0.00192133018141695	0.013204243644737917
MIMAT0000427	1.894750357216215	0.001938212343080312	0.01320846563041268
MIMAT0017950	0.1767810932375929	0.0019434786552468975	0.01320846563041268
MIMAT0001629	-0.28998411823048315	0.001952001623831469	0.01320846563041268
MIMAT0016872	0.8864148180979259	0.0019657977065452837	0.01320846563041268
MIMAT0015071	0.30504242491233363	0.001978838528178605	0.01320846563041268
MIMAT0001341	-1.8734747201217892	0.0019807795525934382	0.01320846563041268
MIMAT0001638	-0.38230124461226145	0.00201866473221268	0.013394785193549164
MIMAT0004924	0.3862669941941262	0.002119846017304857	0.013997218555439422
MIMAT0003393	0.9816755474617351	0.0021498015019166703	0.01412576889308173
MIMAT0003253	-0.10866599930108674	0.002164460998735537	0.014153053229595963
MIMAT0003887	0.2402021043381963	0.002312956160484964	0.015050975595039838
MIMAT0017989	0.4610084806423954	0.002345780552138432	0.015191184633319558
MIMAT0000751	0.37716340793665676	0.0023727611829159833	0.015292389059271912
MIMAT0003340	-0.7908629673854229	0.00247942179855157	0.015903719822137927
MIMAT0003238	-0.15946397311607852	0.0025365839324772116	0.016175533230827627
MIMAT0004671	-0.18060897210700935	0.002545815178125803	0.016175533230827627
MIMAT0004587	0.44775373625224113	0.002599688265385143	0.016440282128984917
MIMAT0004772	0.22897436916996317	0.0026593309667302238	0.01673887295413837
MIMAT0016860	-0.2569765131529548	0.002690942472926085	0.01684767222046403
MIMAT0014983	0.25166519027414763	0.0027062923591302445	0.01684767222046403
MIMAT0004516	-0.16181086930093938	0.0027141387318787634	0.01684767222046403
MIMAT0000703	0.7283649003325524	0.002753736057927952	0.01701505720196767
MIMAT0004588	0.2943971157557211	0.002803216503775426	0.01724170150952283
MIMAT0016869	0.10068130382766628	0.0028813715530913663	0.01764185219097305
MIMAT0014992	-0.17626529456485968	0.002912124079722494	0.017677850149935847
MIMAT0000281	1.6061087176939157	0.0029134986884081352	0.017677850149935847
MIMAT0005932	-0.1564017877724205	0.0031006457092023995	0.01872901242285037
MIMAT0004765	0.4920354753773043	0.003116993310325054	0.01874370530807075
MIMAT0002821	0.7459231110638834	0.0031896036029723253	0.01909509356979432
MIMAT0004946	0.28578203226062776	0.003229392244438058	0.019247749350699398
MIMAT0015220	1.1043204070713362	0.0033421610585138446	0.019832118704044707
MIMAT0004657	-0.18026662936258483	0.0033645244261532314	0.01987725614924738
MIMAT0002854	-0.1692613499770649	0.003428564230438206	0.02016714418515399
MIMAT0005918	-0.1510258820045327	0.0036511950830748568	0.02138330337783405
MIMAT0005903	0.23016795464595433	0.003794211273114918	0.02202500710912581
MIMAT0018096	-0.12428919956047738	0.0038177806084336964	0.02202500710912581
MIMAT0003301	0.18119525242206116	0.003822267315056092	0.02202500710912581
MIMAT0003259	-0.16342030461903798	0.0038261705000263097	0.02202500710912581
MIMAT0003258	-0.7459231139490196	0.0038773524781523638	0.022224654417324397
MIMAT0018193	0.15168446947328798	0.003932265222783706	0.02244390362326124
MIMAT0001635	0.9601571805749199	0.003965283270138869	0.02253257650811372
MIMAT0002828	0.25870139639654544	0.003981257022220538	0.02253257650811372
MIMAT0000243	-1.8362012734616306	0.004134462100538913	0.0233017592026189
MIMAT0003322	-0.40631677190351545	0.004178067848967425	0.02342972067274134
MIMAT0004567	-0.10583707127147637	0.004191954478196484	0.02342972067274134
MIMAT0018001	0.24577076483459065	0.004361600417803222	0.024277172573474958
MIMAT0004482	0.2776556635575612	0.0045268439376163604	0.025062114140923575
MIMAT0000102	0.4828661331249453	0.004539833593456089	0.025062114140923575
MIMAT0002864	-0.13180782096660823	0.004559977149523863	0.025070568246565887
MIMAT0015034	0.11550813304675843	0.00471382100488946	0.02577828704444832
MIMAT0018183	-0.09244274695322643	0.0047269761692492465	0.02577828704444832
MIMAT0016881	0.17016594287965278	0.004770302537785859	0.025909667412893356
MIMAT0000723	-0.14917679819517765	0.004877843349342204	0.02631208975761562
MIMAT0015016	-0.2101880225578238	0.00488346135070817	0.02631208975761562
