
Overlap Results

Collection(s):	C2, H
# overlaps shown:	10
# genesets in collections:	7720
# genes in comparison (n):	114
# genes in universe (N):	43722

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	792	Cytokine Signaling in Immune system	26	0.0328	2.59E-21	2E-17
WP_PLEURAL_MESOTHELIOMA	439	Pleural mesothelioma	20	0.0456	2.85E-19	1.1E-15
REACTOME_CELLULAR_RESPONSES_TO_STIMULI	920	Cellular responses to stimuli	25	0.0272	1.47E-18	3.77E-15
WP_CANCER_PATHWAYS	507	Cancer pathways	20	0.0394	4.68E-18	9.04E-15
REACTOME_SIGNALING_BY_INTERLEUKINS	461	Signaling by Interleukins	19	0.0412	1.53E-17	2.36E-14
WINTER_HYPOXIA_METAGENE	243	Genes regulated by hypoxia, based on literature searches.	15	0.0617	1.23E-16	1.59E-13
HALLMARK_HYPOXIA	200	Genes up-regulated in response to low oxygen levels (hypoxia).	14	0.0700	2.32E-16	2.56E-13
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	532	Signaling by Receptor Tyrosine Kinases	18	0.0338	3.51E-15	3.38E-12
WP_INSULIN_SIGNALING	160	Insulin signaling	11	0.0688	5.18E-13	4.17E-10
WP_GASTRIN_SIGNALING	115	Gastrin signaling	10	0.0870	5.75E-13	4.17E-10


Gene/Gene Set Overlap Matrix

4233	MET	MET proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7029]		WP_PLEURAL_MESOTHELIOMA		WP_CANCER_PATHWAYS		WINTER_HYPOXIA_METAGENE		REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES		
2261	FGFR3	fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]		WP_PLEURAL_MESOTHELIOMA		WP_CANCER_PATHWAYS				REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES		
4040	LRP6	LDL receptor related protein 6 [Source:HGNC Symbol;Acc:HGNC:6698]		WP_PLEURAL_MESOTHELIOMA		WP_CANCER_PATHWAYS						
1942	EFNA1	ephrin A1 [Source:HGNC Symbol;Acc:HGNC:3221]		WP_PLEURAL_MESOTHELIOMA				WINTER_HYPOXIA_METAGENE	HALLMARK_HYPOXIA			
4908	NTF3	neurotrophin 3 [Source:HGNC Symbol;Acc:HGNC:8023]		WP_PLEURAL_MESOTHELIOMA						REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES		
685	BTC	betacellulin [Source:HGNC Symbol;Acc:HGNC:1121]		WP_PLEURAL_MESOTHELIOMA						REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES		
1009	CDH11	cadherin 11 [Source:HGNC Symbol;Acc:HGNC:1750]		WP_PLEURAL_MESOTHELIOMA								
4851	NOTCH1	notch receptor 1 [Source:HGNC Symbol;Acc:HGNC:7881]			REACTOME_CELLULAR_RESPONSES_TO_STIMULI	WP_CANCER_PATHWAYS						
1871	E2F3	E2F transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3115]			REACTOME_CELLULAR_RESPONSES_TO_STIMULI	WP_CANCER_PATHWAYS						
4846	NOS3	nitric oxide synthase 3 [Source:HGNC Symbol;Acc:HGNC:7876]			REACTOME_CELLULAR_RESPONSES_TO_STIMULI			WINTER_HYPOXIA_METAGENE		REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES		
5465	PPARA	peroxisome proliferator activated receptor alpha [Source:HGNC Symbol;Acc:HGNC:9232]			REACTOME_CELLULAR_RESPONSES_TO_STIMULI			WINTER_HYPOXIA_METAGENE				
57761	TRIB3	tribbles pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:16228]			REACTOME_CELLULAR_RESPONSES_TO_STIMULI					REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	WP_INSULIN_SIGNALING	
3014	H2AX	H2A.X variant histone [Source:HGNC Symbol;Acc:HGNC:4739]			REACTOME_CELLULAR_RESPONSES_TO_STIMULI							
5144	PDE4D	phosphodiesterase 4D [Source:HGNC Symbol;Acc:HGNC:8783]			REACTOME_CELLULAR_RESPONSES_TO_STIMULI							
7029	TFDP2	transcription factor Dp-2 [Source:HGNC Symbol;Acc:HGNC:11751]			REACTOME_CELLULAR_RESPONSES_TO_STIMULI							
4499	MT1M	metallothionein 1M [Source:HGNC Symbol;Acc:HGNC:14296]			REACTOME_CELLULAR_RESPONSES_TO_STIMULI							
